,term,coursename,coursesection,Instructor,courseid,book_needed,book_name,book_author,book_edition,book_pubtime,book_ISBN
944,Term: Winter 18 | ,Name: ENG        004             | ,Section: ALL               | ,"Instructor: Soshi, Masakazu | ",Course ID:                 | ,Required                 ,FUND.OF GRAPHICS COMMUNICATION         ,Author: BERTOLINE     ,Edition: 6TH 11 ,Published Date: 2011,ISBN: 9780073522630
945,Term: Winter 18 | ,Name: ENG        045             | ,Section: ALL               | ,"Instructor: MAHAJAN, S | ",Course ID:                 | ,Required                 ,INTRO.TO MATERIALS SCI.F/ENGRS.-TEXT   ,Author: SHACKELFORD   ,Edition: 8TH 15 ,Published Date: 2015,ISBN: 9780133826654
946,Term: Winter 18 | ,Name: ENG        100             | ,Section: ALL A             | ,"Instructor: Hurst, Paul | ",Course ID:                 | ,Required                 ,FUND.OF ELECTRICAL ENGR.               ,Author: BOBROW        ,Edition: 2ND 96 ,Published Date: 1996,ISBN: 9780195105094
947,Term: Winter 18 | ,Name: ENG        100             | ,Section: ALL BOY           | ,"Instructor: Chowdhury, Srabanti | ",Course ID: 52937           | ,Required                 ,FUND.OF ELECTRICAL ENGR.               ,Author: BOBROW        ,Edition: 2ND 96 ,Published Date: 1996,ISBN: 9780195105094
948,Term: Winter 18 | ,Name: ENG        102             | ,Section: ALL               | ,Instructor: The Staff | ,Course ID:                 | ,Required                 ,ENGR.MECH.:DYNAMICS                    ,Author: MERIAM        ,Edition: 8TH 15 ,Published Date: 2015,ISBN: 9781118885840
949,Term: Winter 18 | ,Name: ENG        103             | ,Section: ALL               | ,"Instructor: Delplanque, Jean-Pie | ",Course ID:                 | ,Required                 ,FLUID MECHANICS                        ,Author: WHITE         ,Edition: 8TH 16 ,Published Date: 2016,ISBN: 9780073398273
950,Term: Winter 18 | ,Name: ENG        105             | ,Section: ALL               | ,"Instructor: Dwyer, Harry | ",Course ID:                 | ,Required                 ,FUND.OF ENGR.THERMODYNAMICS            ,Author: MORAN         ,Edition: 8TH 14 ,Published Date: 2014,ISBN: 9781118412930
951,Term: Winter 18 | ,Name: ENG        106             | ,Section: ALL               | ,Instructor: DACCAHE | ,Course ID:                 | ,Required                 ,FUND.OF ENGINEERING ECONOMICS          ,Author: PARK          ,Edition: 3RD 13 ,Published Date: 2013,ISBN: 9780132775427
952,Term: Winter 18 | ,Name: ENG        111             | ,Section: ALL               | ,"Instructor: DELWICHE, M | ",Course ID:                 | ,Required                 ,ELECTRIC MACHINERY FUNDAMENTALS        ,Author: CHAPMAN       ,Edition: 5TH 12 ,Published Date: 2012,ISBN: 9780073529547
953,Term: Winter 18 | ,Name: ENH        125             | ,Section: ALL               | ,"Instructor: LIETH, J | ",Course ID:                 | ,Required                 ,GREENHOUSE OPERATION+MGMT.             ,Author: NELSON        ,Edition: 7TH 12 ,Published Date: 2012,ISBN: 9780132439367
954,Term: Winter 18 | ,Name: ENL        003             | ,Section: 001               | ,"Instructor: Newton, Frank | ",Course ID: 52969           | ,Required                 ,DISGRACED                              ,Author: AKHTAR        ,Edition: 13     ,Published Date: 2013,ISBN: 9780316324465
955,Term: Winter 18 | ,Name: ENL        003             | ,Section: 001               | ,"Instructor: Newton, Frank | ",Course ID: 52969           | ,Required                 ,SLAUGHTERHOUSE-FIVE                    ,Author: VONNEGUT      ,Edition: 68     ,Published Date: 1968,ISBN: 9780440180296
956,Term: Winter 18 | ,Name: ENL        003             | ,Section: 001               | ,"Instructor: Newton, Frank | ",Course ID: 52969           | ,Required                 ,TEMPEST                                ,Author: SHAKESPEARE   ,Edition: 99     ,Published Date: 1999,ISBN: 9780143128632
957,Term: Winter 18 | ,Name: ENL        003             | ,Section: 002               | ,"Instructor: Colmenero, Jennifer | ",Course ID: 52970           | ,Required                 ,DEATH OF A SALESMAN                    ,Author: MILLER        ,Edition: 49     ,Published Date: 1949,ISBN: 9780140481341
958,Term: Winter 18 | ,Name: ENL        003             | ,Section: 002               | ,"Instructor: Colmenero, Jennifer | ",Course ID: 52970           | ,Required                 ,EVERYMAN+OTHER MIRACLE+MORALITY PLAYS  ,Author: ANONYMOUS     ,Edition: 95     ,Published Date: 1995,ISBN: 9780486287263
959,Term: Winter 18 | ,Name: ENL        003             | ,Section: 002               | ,"Instructor: Colmenero, Jennifer | ",Course ID: 52970           | ,Required                 ,OROONOKO                               ,Author: BEHN          ,Edition: 03     ,Published Date: 2003,ISBN: 9780140439885
960,Term: Winter 18 | ,Name: ENL        003             | ,Section: 003               | ,"Instructor: Bauer, Mark | ",Course ID: 52971           | ,Required                 ,CRYING OF LOT 49                       ,Author: PYNCHON       ,Edition: 66     ,Published Date: 1966,ISBN: 9780060913076
961,Term: Winter 18 | ,Name: ENL        003             | ,Section: 003               | ,"Instructor: Bauer, Mark | ",Course ID: 52971           | ,Required                 ,LONG DAY'S JOURNEY INTO NIGHT          ,Author: ONEILL        ,Edition: (2ND)02,Published Date: 2002,ISBN: 9780300093056
962,Term: Winter 18 | ,Name: ENL        003             | ,Section: 003               | ,"Instructor: Bauer, Mark | ",Course ID: 52971           | ,Required                 ,M.BUTTERFLY                            ,Author: HWANG         ,Edition: 88     ,Published Date: 1988,ISBN: 9780452272590
963,Term: Winter 18 | ,Name: ENL        003             | ,Section: 003               | ,"Instructor: Bauer, Mark | ",Course ID: 52971           | ,Required                 ,PRIME OF MISS JEAN BRODIE              ,Author: SPARK         ,Edition: 09     ,Published Date: 2009,ISBN: 9780061711299
964,Term: Winter 18 | ,Name: ENL        003             | ,Section: 003               | ,"Instructor: Bauer, Mark | ",Course ID: 52971           | ,Required                 ,THIRD MAN+THE FALLEN IDOL              ,Author: GREENE        ,Edition: 77     ,Published Date: 1977,ISBN: 9780140185331
965,Term: Winter 18 | ,Name: ENL        003             | ,Section: 004               | ,"Instructor: Arkenberg, Megan | ",Course ID: 52972           | ,Required                 ,"MACBETH,UPDATED ED.                    ",Author: SHAKESPEARE   ,Edition: 13     ,Published Date: 2013,ISBN: 9781451694727
966,Term: Winter 18 | ,Name: ENL        003             | ,Section: 004               | ,"Instructor: Arkenberg, Megan | ",Course ID: 52972           | ,Required                 ,TILL WE HAVE FACES: A MYTH RETOLD      ,Author: LEWIS         ,Edition: ,Published Date: NA,ISBN: 9780062565419
967,Term: Winter 18 | ,Name: ENL        003             | ,Section: 005               | ,"Instructor: Gray, Jessica | ",Course ID: 52973           | ,Required                 ,ALL'S WELL THAT ENDS WELL              ,Author: SHAKESPEARE   ,Edition: 09     ,Published Date: 2009,ISBN: 9780743484978
968,Term: Winter 18 | ,Name: ENL        003             | ,Section: 006               | ,"Instructor: Page, Ryan | ",Course ID: 52974           | ,Required                 ,"ANTIGONE,OEDIPUS THE KING,ELECTRA      ",Author: SOPHOCLES     ,Edition: 94     ,Published Date: 1994,ISBN: 9780199537174
969,Term: Winter 18 | ,Name: ENL        003             | ,Section: 006               | ,"Instructor: Page, Ryan | ",Course ID: 52974           | ,Required                 ,MOTHER COURAGE+HER CHILDREN            ,Author: BRECHT        ,Edition: 66     ,Published Date: 1966,ISBN: 9780802130822
970,Term: Winter 18 | ,Name: ENL        003             | ,Section: 006               | ,"Instructor: Page, Ryan | ",Course ID: 52974           | ,Required                 ,STRANGE CASE OF DR.JEKYLL+MR.HYDE...   ,Author: STEVENSON     ,Edition: (REV)02,Published Date: 2002,ISBN: 9780141439730
971,Term: Winter 18 | ,Name: ENL        003             | ,Section: 007               | ,"Instructor: Emrich, Lee | ",Course ID: 52975           | ,Required                 ,PASSING                                ,Author: LARSEN        ,Edition: 03     ,Published Date: 2003,ISBN: 9780142437278
972,Term: Winter 18 | ,Name: ENL        003             | ,Section: 007               | ,"Instructor: Emrich, Lee | ",Course ID: 52975           | ,Required                 ,TRAGEDY OF MARIAM                      ,Author: CARY          ,Edition: 10     ,Published Date: 2010,ISBN: 9780713688764
973,Term: Winter 18 | ,Name: ENL        003             | ,Section: 008               | ,"Instructor: Bauer, Mark | ",Course ID: 52976           | ,Required                 ,CRYING OF LOT 49                       ,Author: PYNCHON       ,Edition: 66     ,Published Date: 1966,ISBN: 9780060913076
974,Term: Winter 18 | ,Name: ENL        003             | ,Section: 008               | ,"Instructor: Bauer, Mark | ",Course ID: 52976           | ,Required                 ,LONG DAY'S JOURNEY INTO NIGHT          ,Author: ONEILL        ,Edition: (2ND)02,Published Date: 2002,ISBN: 9780300093056
975,Term: Winter 18 | ,Name: ENL        003             | ,Section: 008               | ,"Instructor: Bauer, Mark | ",Course ID: 52976           | ,Required                 ,M.BUTTERFLY                            ,Author: HWANG         ,Edition: 88     ,Published Date: 1988,ISBN: 9780452272590
976,Term: Winter 18 | ,Name: ENL        003             | ,Section: 008               | ,"Instructor: Bauer, Mark | ",Course ID: 52976           | ,Required                 ,PRIME OF MISS JEAN BRODIE              ,Author: SPARK         ,Edition: 09     ,Published Date: 2009,ISBN: 9780061711299
977,Term: Winter 18 | ,Name: ENL        003             | ,Section: 008               | ,"Instructor: Bauer, Mark | ",Course ID: 52976           | ,Required                 ,THIRD MAN+THE FALLEN IDOL              ,Author: GREENE        ,Edition: 77     ,Published Date: 1977,ISBN: 9780140185331
978,Term: Winter 18 | ,Name: ENL        003             | ,Section: 009               | ,"Instructor: Hintze, Thomas | ",Course ID: 52977           | ,Required                 ,MUCH ADO ABOUT NOTHING                 ,Author: SHAKESPEARE   ,Edition: 95     ,Published Date: 1995,ISBN: 9780743482752
979,Term: Winter 18 | ,Name: ENL        003             | ,Section: 009               | ,"Instructor: Hintze, Thomas | ",Course ID: 52977           | ,Required                 ,PASSING                                ,Author: LARSEN        ,Edition: 03     ,Published Date: 2003,ISBN: 9780142437278
980,Term: Winter 18 | ,Name: ENL        003             | ,Section: 009               | ,"Instructor: Hintze, Thomas | ",Course ID: 52977           | ,Required                 ,SUN ALSO RISES                         ,Author: HEMINGWAY     ,Edition: 26     ,Published Date: 1926,ISBN: 9780743297332
981,Term: Winter 18 | ,Name: ENL        003             | ,Section: 010               | ,"Instructor: Kissinger, Zachary | ",Course ID: 52978           | ,Required                 ,WORD FOR WORLD IS FOREST               ,Author: LEGUIN        ,Edition: 10     ,Published Date: 2010,ISBN: 9780765324641
982,Term: Winter 18 | ,Name: ENL        003             | ,Section: 012               | ,"Instructor: Petersen, Sarah | ",Course ID: 52980           | ,Required                 ,DAISY MILLER                           ,Author: JAMES         ,Edition: 07     ,Published Date: 2007,ISBN: 9780141441344
983,Term: Winter 18 | ,Name: ENL        003             | ,Section: 012               | ,"Instructor: Petersen, Sarah | ",Course ID: 52980           | ,Required                 ,ETHAN FROME                            ,Author: WHARTON       ,Edition: 05     ,Published Date: 2005,ISBN: 9780142437803
984,Term: Winter 18 | ,Name: ENL        003             | ,Section: 012               | ,"Instructor: Petersen, Sarah | ",Course ID: 52980           | ,Required                 ,IMPERATIVE DUTY                        ,Author: HOWELLS       ,Edition: 10     ,Published Date: 2010,ISBN: 9781551119144
985,Term: Winter 18 | ,Name: ENL        003             | ,Section: 012               | ,"Instructor: Petersen, Sarah | ",Course ID: 52980           | ,Required                 ,KINDRED                                ,Author: BUTLER        ,Edition: (REV)03,Published Date: 2003,ISBN: 9780807083697
986,Term: Winter 18 | ,Name: ENL        003             | ,Section: 012               | ,"Instructor: Petersen, Sarah | ",Course ID: 52980           | ,Required                 ,READING+WRITING ABOUT LIT.:PORT.GUIDE  ,Author: GARDNER       ,Edition: 4TH 17 ,Published Date: 2017,ISBN: 9781319035365
987,Term: Winter 18 | ,Name: ENL        003             | ,Section: 013               | ,"Instructor: Page, Ryan | ",Course ID: 52981           | ,Required                 ,"ANTIGONE,OEDIPUS THE KING,ELECTRA      ",Author: SOPHOCLES     ,Edition: 94     ,Published Date: 1994,ISBN: 9780199537174
988,Term: Winter 18 | ,Name: ENL        003             | ,Section: 013               | ,"Instructor: Page, Ryan | ",Course ID: 52981           | ,Required                 ,TEMPEST (9535906)                      ,Author: SHAKESPEARE   ,Edition: 87     ,Published Date: 1987,ISBN: 9780199535903
989,Term: Winter 18 | ,Name: ENL        003             | ,Section: 013               | ,"Instructor: Page, Ryan | ",Course ID: 52981           | ,Required                 ,WAR OF THE WORLDS                      ,Author: WELLS         ,Edition: 05     ,Published Date: 2005,ISBN: 9780141441030
990,Term: Winter 18 | ,Name: ENL        003             | ,Section: 014               | ,"Instructor: Yingling, Nicholas | ",Course ID: 52982           | ,Required                 ,MACBETH                                ,Author: SHAKESPEARE   ,Edition: 16     ,Published Date: 2016,ISBN: 9780143128564
